"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",488.8,16,1.7,0.9,2.6,5313.4,36.8,898.5,198.4,9.1,131.4,2.9,669.7,1.6,1.5,2.6,10.6,1.4,9.3,2.8,142.6,25.1,0.4,0.2,19.6,390.4,0.1,0,0.1,0.1,0.2,232.7,0.4,0.2,0.5,3.6,0.2,0.3,0.6,47.8,4,7,0,0,0,817.3,0,0,227.7,51.4,0,47.2,2632.9,0,12452.8
"DOM_A03",0.5,133.2,0,0,0,179.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.6,0,0,0,0,0,270.6,0,0,0,0,0,0,0,0,0,0,0,0,0,526.9,0,0,0,10.6,0,4.1,129.5,0,1354.4
"DOM_B05_06",0.6,0.1,21.3,1.1,1.2,10.6,0.1,0.1,0.1,3442.4,45,0.1,0.2,23.9,0.3,0.1,0.2,0.2,0.9,0.5,0.1,1.2,119.1,0,8.3,7.8,0.2,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,3.1,0,0,0,19.5,0,0.1,7098.7,0,10807.8
"DOM_B07_08",6.6,0.3,0.6,0.3,6.7,0.4,0.1,0.4,1.1,2.6,2.9,0.1,7.8,325.1,17.8,9.1,0.6,1.1,5.2,1.5,1.3,23.1,0.5,0,321.9,10.4,0.6,0.1,0.7,0.2,0.1,0.1,0,0,0,0.2,0.1,0,0.1,1.4,0.1,0.2,0,0,0,1.6,0,0,0.3,6.5,0,1.1,314,0,1074.9
"DOM_B09",2.4,4.4,321.4,15.7,33.5,0.8,0,0.2,2.4,792.1,4.2,0,0.4,6.4,1,0.2,0,0,0.1,0,0,0,4.6,0.5,11,0.1,0.3,0,0,0.3,0,0.1,0,0,0,0,0.3,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,30.7,0,1234.2
"DOM_C10T12",790.4,79.2,2.5,3,1.8,7467.8,9.2,6.9,4.6,60.9,844,3,42.7,4.7,2.6,6.5,2.1,1.4,1.7,0.9,0.9,1.4,2.9,1.9,11.3,1012.4,0.2,0.1,0.1,0.5,0.1,1040.3,0.1,0.3,0.4,1.8,2.4,0.2,0.4,129,2.7,21.3,32.5,0.1,0,2896,0,0.2,35.6,154,0,235.3,5288.1,0,20208.2
"DOM_C13T15",0.6,0.1,0.3,0.6,0.8,2.7,278.7,5.8,68.7,0.5,3.9,0.7,45.8,1.9,1.7,2.1,5.4,3.6,4.2,15.4,2.5,8.2,0.4,0.5,1.3,56.5,0.2,0.1,0.6,0.3,2,8.8,0,0.1,0.1,0.9,0.8,0.2,0.2,12.2,2.3,1.6,0.4,0,0,173.2,0,0,5.4,9.3,0,139.2,1239.2,0,2110.2
"DOM_C16",11.3,0.3,0.6,0.4,1,1.9,0.6,323.3,149,2,21.9,0,9.5,4.4,2.2,5.4,15.6,0.8,2.4,1,13.2,3.6,1.9,2.1,212.3,42.2,0.1,0.1,0,0.2,0,0.3,0,0.1,0.2,1.5,1,0.1,0.2,8.6,1.4,0.5,0.2,0,0,1.7,0,0.2,12.6,-0.3,0,10.8,3277.8,0,4146.6
"DOM_C17_18",0.5,0,18.4,0.4,1.1,19.7,2,10.5,346.2,1.5,11.5,0.2,11.9,6.5,5.4,4,19.3,3.4,3.3,1.9,5,6.7,0.6,0.5,1.9,233.7,2.7,0.5,0.7,4.8,2.2,8.4,54.6,45.6,14,225.3,11.8,50.1,21,101,17.2,9.8,4.3,0.9,0,73.2,0,0,92.6,3.5,0,21.2,2119,0,3600.6
"DOM_C19",455.8,247.5,517.4,53.5,39,76.5,10.4,75.3,48.5,622.5,866.3,1,92.9,261.3,65.9,25.9,19.5,7.7,8.9,4.2,16.4,10.1,380.2,24.9,428.1,1401.5,484.3,136.4,671.2,80.9,47.4,53.8,0.8,2.1,1.2,28.4,9.3,11.8,25.7,64.3,11.2,8.7,15.7,3.9,0,1167.4,0,0.1,31.7,73.2,0,109.5,2418.3,0,11218.5
"DOM_C20",261.3,15.4,75.4,10.9,4.3,37.7,49.6,79.1,84.7,168.3,992.6,5.1,479.6,41.8,29.7,48.3,30.7,47.9,28.8,14.7,10.8,73.7,4,20,31.8,103.4,0.6,0.2,0.6,11.8,2.2,4.3,3.7,0.3,0.1,3,3.6,2.4,0.9,16.8,2.8,106,0.3,2.2,0,64.3,0,0.5,8.7,-2.1,0,12.4,4992,0,7987.4
"DOM_C21",17.4,3.7,0.4,0,0.1,8.6,0.5,0.2,4.2,0.4,2.4,2.1,0.9,1,0.1,0.1,0.1,0.1,0.2,2.2,0,1.3,0.1,0,0.2,6.5,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0.2,0,6,2.1,165.9,0,0,0,16.3,0,8,0.8,0.9,0,12.1,133.2,0,398.6
"DOM_C22",24.4,4.5,2.7,5,3.9,373,11.4,11.1,33.9,12.7,36.3,1.7,1010.4,5,8.3,12.5,145.9,21.5,33.9,49.8,35.6,39.8,2.2,15.7,40.7,183.7,22,0.1,1.7,17.2,0.2,12.2,0.3,4,0.5,2.5,3,1.7,9.1,8.8,2.7,19.5,1.3,1,0,140.7,0,0.1,123.6,5.1,0,3.4,3691.7,0,6197.9
"DOM_C23",20.2,0.1,5.2,1.1,6.9,24.6,0.7,14,17.2,0.8,41.8,0.9,18.5,364.4,141.5,17.8,112.1,10.9,17.3,1.6,75.3,2.7,1.1,0.9,1142.7,257,0.1,0,0,3.3,0,0.2,0,0.1,0.1,0.7,1.7,0.1,0.1,7,0.9,0.4,0.1,0,0,30.5,0,0.1,11.3,10.6,0,0.4,364,0,2728.8
"DOM_C24",0.7,0,10.7,1,2.4,49.2,2.2,23.8,35.2,1.5,30.2,0.4,27.8,24.8,1155.8,309.6,103.2,291,247.6,38,187.7,143,14.1,6.3,371.1,78.9,0.2,0.6,0.1,0.2,0,0.5,0,0.1,0.1,0.6,0.6,0.1,0.2,4.5,0.7,0.2,0.1,0,0,1.6,0,0.1,12.7,8,0,0.5,1818,0,5006
"DOM_C25",21.4,0.2,116.8,2,9.5,87.1,3,5.2,44.7,13.7,52.1,0.5,23.2,62.8,145,263.9,56.6,113.5,230.1,35.3,123.3,17.4,1.2,8.1,74.7,36.7,0.1,49.1,0.1,0.3,0,0.4,0.1,0.1,0.1,1,0.6,0.1,0.2,34.9,0.8,1.3,0.1,0.1,0,14.1,0,0.1,144.2,8.3,0,0.9,1040.5,0,2845.4
"DOM_C26",3.6,0.9,17.2,2.9,5.7,2.6,5.1,3.1,7.2,7,4.3,38.4,52.8,3.8,25.6,25.9,4492.2,287.9,95.2,254.8,50.4,69.1,21.5,1.5,92.9,296.8,8.5,2.1,7.5,12.2,4.4,2,6.1,213.3,15,7.8,9,67.4,4,114,91.8,85.4,33.6,2,0,300.9,0,0.1,1469.3,79.8,0,14.8,24210.3,0,32629.8
"DOM_C27",2.8,0,11.8,0.1,1.5,1.5,0.3,1.4,2.8,0.2,3,0.5,8,3.8,36.7,13,176.4,83.3,24.6,117,16.4,2.3,1.4,1.3,96,110.7,2.5,0.2,0.1,3.1,0.1,11.7,0.1,2.7,0.2,0.9,0.3,0.9,3.3,13,3.7,1.3,0.5,0.5,0,20.9,0,0.1,101.1,-5,0,4.3,2908.5,0,3791.8
"DOM_C28",16.3,0.7,75.5,8.7,10.7,39.5,8.1,30.6,20.5,5.6,19,0.5,10.8,30.4,88.5,136,51.4,65.7,183.4,39.5,88.9,25.6,26,8.4,59.1,44.5,7.4,22.7,0.5,1.8,0.1,16.8,1.5,0.2,0.1,0.4,0.5,0.3,0.2,19.8,0.9,0.4,0.1,1.8,0,10,0,0,300.5,5.2,0,0.7,2705.2,0,4191.2
"DOM_C29",71.4,4,9.9,0.6,1.2,2,5.7,112.8,4.9,22.4,23.1,0,7.5,1.2,60,2,1.5,11.1,25.9,515.1,22.9,0.7,2.5,1,23,573.6,11.3,1,29.4,9.7,1.4,2.8,1.9,2.1,0.7,32,1.6,10.2,4.9,9.2,3.2,2.2,14.5,7.7,0,381.1,0,0,1475.2,20.6,0,3.2,198.4,0,3730.1
"DOM_C30",0.7,1.7,1.4,0.1,0.5,0.4,0.1,1,0.4,0.2,1.2,0,0.9,0.7,3.3,2.2,11,7,2.8,17.2,90.6,0.3,0.1,0.1,8.5,19.1,1.6,5.1,50,0.3,0,1.1,0.1,0,0,0.4,0.2,0,0.3,40.4,0.3,0.6,0,0.1,0,22,0,0,321,4.2,0,0.9,2068.3,0,2688.4
"DOM_C31T33",13.9,0.8,20.2,15.5,18.4,16.4,14.3,6,8.1,9.7,10.6,0.2,7.8,4.1,2.9,5.8,14.9,4.4,6.4,4.2,24,133.1,0.4,0.6,5.6,80.1,28.6,13.2,44.3,23.5,5.4,1.5,0.9,7.7,1.6,7.7,2.2,29.2,2.2,18,7.6,27.5,20.3,0.5,0,40.4,0,0,41,-3.6,0,125.5,1800.7,0,2674.1
"DOM_D",59.6,12.3,6.4,11.3,24.8,99.4,55.3,170.4,110.3,182,168,1.8,186.2,134.3,155.3,63.8,97.6,33.6,49.5,19.4,38.2,29.1,530.8,76.9,45.6,26.2,20.6,2.7,3,31.3,2.1,180.5,2.5,29.2,4.8,302.3,49.6,19.5,18.3,221.4,62.3,30.3,27.4,17.9,0,436,0,0,0,0.1,0,22.2,56.6,0,3928.9
"DOM_E",36.3,25.1,1.8,2.3,3.6,58.9,5.7,5.8,16.2,6.6,82.6,0.2,123.6,39.8,26.9,29.2,6,2.8,5.2,3.2,11.1,3.1,14.6,117,20,141.8,6.4,1.1,2.9,14.3,1.7,53.6,0.4,1,0.5,31.4,3,2,3.1,64.3,14,4.3,2.3,0.9,0,174.9,0,1.7,9.1,0,0,0.2,1,0,1183.2
"DOM_F",3,1.2,107.1,1.1,18,0.6,0.1,4.1,0.2,0,1,0,0.5,0.4,0.3,2.2,27.5,0.4,1.4,1.1,0.3,0.1,352.2,23.6,837,54,1.7,0.1,4.9,12.5,0.4,11.2,5,35,69.1,55.8,145.1,12.1,47.5,430.9,75.2,6.6,9.9,0.1,0,31.2,0,0,6692.8,0,0,3,26,0,9113.5
"DOM_G",664.7,101.2,194.2,64.9,46.1,1776.5,93.7,326.1,245.6,610.9,518.7,12,638.2,221.9,170.5,156,1037,121.6,136.3,134.5,144.1,77.2,103.5,23.1,627.5,966,88.6,35.8,122.1,21.2,20,288.4,15.2,173.5,16.1,202.2,297.8,50.6,107.1,78.4,31.4,75.6,22.9,2.9,0,3134.6,0,1,1218.4,51.7,0,83.2,8289.1,0,23639.8
"DOM_H49",148.7,7.2,14.8,23,16.1,131.2,10.4,50.9,24,65.9,48.6,0.7,55.3,24.6,21,18.7,50.2,12.6,16.1,12.8,10.7,7.1,15.2,8.7,50.6,173.4,52.9,3.5,8.4,56.2,6.5,22.8,3.3,2.9,1,7.1,9.6,4,27.4,57.6,11.7,7.9,6.2,8.2,0,127.4,0,0.1,53.1,-58.1,0,414.7,530,0,2382.9
"DOM_H50",5.3,1.2,2.9,0.4,0.4,30.1,2.5,3.5,3.3,8.3,8.7,0.2,7.5,3.2,6.1,2.8,24.8,3.7,3.4,4,2.6,1.6,1.7,0.3,8.1,13.9,2.1,3.2,2,2.2,0.2,4,0.2,1.2,0.1,0.9,0.1,0.5,0.3,1.9,0.6,1.5,0.4,0.1,0,20.1,0,0,16.1,132.9,0,47.7,942,0,1331.1
"DOM_H51",10.2,1.2,19.4,1.5,1,22.6,2.9,6.3,4.1,9.4,9.5,0.3,8.8,3.8,7.2,3.6,28.7,4.5,4.2,4.7,2.8,2,2.4,0.6,8.6,19.6,29.5,2,17.6,75.5,9.6,3.5,0.4,1.4,0.9,19.7,3.7,6.7,16.9,40.8,5.4,4.8,0.7,0.6,0,71,0,0,18.5,187.2,0,259.5,1170.4,0,2136.2
"DOM_H52",2.7,0.3,107.4,0.2,8.7,97.8,33.4,208.9,66.5,142.5,95.4,1.1,15.5,72.2,44.1,32.6,44.3,13.7,18.8,0.6,8.4,6.8,0.6,0.3,0.9,150.8,105.5,36.1,75.2,220.4,0.3,1.4,0.2,1.1,1.1,58.1,4.1,4.6,0.8,114,4.5,4.7,0.1,0,0,120.9,0,0,3.8,0.4,0,1.4,613.3,0,2546.6
