"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",1104.7,0.1,1.4,0.5,1.1,3226.1,10.2,80.7,3.8,2,26.9,59.1,7,8.1,1.1,11.1,6.4,3.3,64.6,1.6,1.5,42.4,55.1,27,85.7,144.2,5.8,9.6,0.5,26,4.2,179.7,51.7,27.3,43.4,37.7,34.8,103.6,121,102.6,80.5,162.6,29.7,26.5,0,2331,0,124.1,553,53.8,0,116.7,3042.1,0,12243.5
"DOM_A03",3.6,2.1,0.5,0.2,0.3,139.2,0.1,0.1,0.2,0.1,2.5,2,0.1,0.3,0,0.4,0.5,0.4,3.2,0.1,0.2,0.7,0.3,3.2,17.8,15.1,0.4,0.7,0.1,8.1,0.3,10.3,2.1,0.9,5.5,2.2,0.6,10.3,6.2,3,3.5,6.2,3.2,2,0,76.9,0,0,2,2.4,0,7.9,381.1,0,729.1
"DOM_B05_06",11,0,115.1,12.5,4.4,88.5,1.7,1.4,9.9,2628.4,48.9,13.5,3.9,7.6,17.4,7.7,1.8,1.5,10.3,1.2,5.5,3.3,1736.1,9.5,48.4,23.2,0.3,0.1,0.1,2.3,1.7,16.3,4.3,1,2,2.9,3.2,9.9,21,3.8,10.5,37.9,9.6,1.6,0,376.1,0,0,52,46,0,0,4007.2,0,9422.1
"DOM_B07_08",8.6,0,17.4,5.6,0.6,19.7,1.4,0.6,8.3,0.4,6.6,1.8,4.6,53.4,1.5,8.5,1.5,1.4,7.3,1,0.3,1.9,55.5,1.3,62.1,9.5,0.2,0,0.1,0.3,0.2,1.5,0.5,0.1,1,2,0.4,1.3,3,3.9,6.2,5.1,1.3,1,0,44.3,0,0,1.2,0.4,0,0,26.4,0,381.4
"DOM_B09",1.9,0.2,275.5,4.4,12.9,0.8,0,0.1,0.9,39.6,2.7,0.4,0.3,5.1,3.2,1.9,0,0,1.5,0,0,0.1,25.3,1,56.4,0.9,1.2,1.7,0,1.9,0,0.2,0,0,0,0,2.6,1.2,0.8,2.1,0.3,0.7,0.2,0.2,0,0,0,0,0,0,0,0,62.2,0,510.8
"DOM_C10T12",1230,30.2,0.6,0.2,0.3,3185.4,34.6,0.8,28.6,0.6,71.9,64,4,2,0,2.4,1.9,0.9,6.5,0.5,0.5,3.8,2.5,6.1,12.6,98.3,3.7,5.4,0.5,8.3,0.8,1051.5,9.1,2.5,15.7,8,3.3,34.6,15.2,45.7,29.8,203.9,14.5,29.5,0,7168.6,0,12.5,3.6,101.8,0,293.4,9675.7,0,23527.1
"DOM_C13T15",1.6,0.9,0.2,0.1,0.1,4.3,122.9,1.5,5.1,0.2,2.6,3.5,8.7,6.7,0.5,10,4.3,2,22.8,1.3,2.9,31,2,8.5,36.1,18.8,2.9,2.6,0.5,3.3,4.7,4.1,4.6,1.3,2.8,1.2,0.6,7.5,27.3,14,7.6,43,8.2,12.5,0,893.7,0,7.9,23.2,10.3,0,4.4,199.7,0,1586.7
"DOM_C16",9.5,0,0.9,0.4,0.3,11.2,1.2,156.1,4.4,0.2,4.3,1.4,6,8.4,3.7,14.8,8.8,3.3,21.8,4,5.2,150.5,19.9,12.4,903.9,24.5,2.1,0.5,0.1,4.5,0.3,1.1,1.1,1,1.3,1,3,3,15.6,2.9,2.5,4.6,9.3,3.6,0,181.3,0,2.1,40.8,9.5,0,1.2,329.7,0,1999.2
"DOM_C17_18",7.8,0.1,1.4,0.5,0.3,157.3,4.5,6.8,397.2,0.4,21.7,22.2,20.7,15.1,4.2,14.3,12.5,7.2,23.5,1.5,1.2,17.6,2.7,20,10.9,277.4,5.2,2.9,1.2,4.4,12.6,12.9,210.9,33.5,51.6,58.2,31.3,244.6,39.5,67.5,54.3,41.6,27.3,25.3,0,485.3,1.4,50.4,275.8,9.3,0,4.8,573.9,0,3374.8
"DOM_C19",168.1,49,4,1.7,4.2,44.9,2.2,6.2,5.6,105.9,19.4,3.4,8.2,49.7,2.1,32.5,2.2,2.3,21.5,1.7,0.8,19.8,66.2,20.1,258.3,154.5,343,1528.2,250.5,24.2,18.1,10.5,3.8,4.2,6.6,8.8,24.8,27.6,42.2,65,21.5,23,8.4,13.6,0,1098.8,0,0,0.2,22.9,0,39.8,779.9,0,5419.9
"DOM_C20",141.2,0.5,4.6,1.2,2.1,63.6,31.5,8.6,27.2,28.8,319.6,145,145.4,24.3,13.1,23.9,18.1,18,79.1,4.8,4.9,81.1,3.5,8.6,68.7,39.4,9.1,15.4,2.6,4.3,1.2,5.2,16.4,5.5,9.7,10.4,24.9,34.7,38.4,50.2,31.5,85.4,7.9,23.2,0,387.4,0,38.5,301.4,14.5,0,4.9,2980.9,0,5410.4
"DOM_C21",69.6,0.1,0.6,0.2,0.5,74.7,5.1,2.1,3.3,2.9,40.2,456.8,23.8,3.2,1.4,4.7,4.6,2.6,99.4,0.9,0.9,17.1,1.9,7.3,16.1,46.7,2.4,3.4,0.2,4.2,1.5,6,13.2,8.6,16.1,14,10.1,132.2,18.3,179.1,86.6,788.2,7.2,14.2,0,746.1,0,524.3,1080.1,38.7,0,18,7157.5,0,11756.9
"DOM_C22",17.4,1.9,2.5,1.2,0.8,140.2,11.1,9.8,24.3,8.1,29.1,33.9,103,15.5,7.4,31.4,39.7,16.3,82.7,6.9,7.5,58.9,4,8.6,305.3,348,14.3,4.5,2,7.5,1.4,7.4,9.3,5.8,9.2,5.7,9.2,27.6,17.9,49.6,30,121.8,15.9,12.7,0,272.2,0,34.9,91.7,10.3,0,1.6,1290.3,0,3368.6
"DOM_C23",7.3,0.4,4.8,1.8,1.5,37.6,2.1,47.5,2.5,6.6,10.7,13.1,14.1,147,4.5,19.2,18.6,8.2,127.2,4.9,8.8,16.3,4.2,8.7,1185.1,45,7.5,6.9,2.8,3.2,0.8,2,2.9,3.4,5.1,6.2,33.9,7.9,4.6,14.4,5.6,14.6,2.6,3,0,205.4,0,1.1,21.6,11.8,0,0.2,708.9,0,2824.2
"DOM_C24",0.6,0,0.2,0,1.7,7.2,0.7,15.4,1.8,3.9,2.6,0.8,9,9.4,127.6,192.7,15.1,26,206.3,26.8,24.5,35.4,0.2,0.2,121.9,27.8,0.5,0.2,0.2,0.1,0.2,0.1,0.2,0.5,0.3,0.2,0,0.2,0.2,1.8,0.8,1.9,0.1,0.5,0,6.1,0,0,0.5,4.2,0,0,563.3,0,1440.2
"DOM_C25",67.3,2.7,5.4,1.6,2.9,135.3,15.1,60.1,11.3,8.5,35.1,35.9,60.6,57.2,27.3,521,84,90.1,776.2,23.3,106.7,168.9,22.5,30.3,1236.3,158.6,27.9,28.3,7.9,25.7,3.9,7.1,8.1,16,20.9,30.8,157.4,23.7,23.3,96.8,31.1,61.6,12.8,15,0,388.5,0,3.6,158.9,26.3,0,1.2,1888.1,0,6809.1
"DOM_C26",10.8,0.7,1.6,0.4,0.4,9.9,0.7,1.7,3.4,1.9,3.3,11,3.2,2.7,2.1,19.5,165,49,141.8,2.4,6.5,24.5,7.4,23.8,199.7,70.7,8.5,13.8,4.1,12,14.9,4.2,7.2,47.7,39.5,15.5,57.8,50.4,13,76.9,24.9,41.3,7.9,23.4,0,694.7,0,54.4,1065.5,16.7,0,6.1,2048.4,0,5113.2
"DOM_C27",9.7,0.6,1.2,0.3,0.3,7.4,0.8,1.5,2.2,1.6,2.7,7.5,4.1,2.6,3.2,27.7,66.8,98.9,365.5,3.9,12.2,26.5,7.2,26.9,172.7,37.5,5.1,9.7,3.7,5.4,6.5,2.4,11.1,19.9,7,8.4,58.3,10.3,9.2,32.5,9.5,18.9,6.9,11.6,0,350.4,0,5.6,167.5,9.3,0,9.7,1361.3,0,3032.1
"DOM_C28",76.8,4.5,11.6,3.3,5.9,94.1,6.8,29.4,23.7,24.1,33.4,75.8,30.6,50.9,21.4,259,125.1,184.7,1846,64.5,96.1,146.9,42.5,88.4,1186.4,208.3,36.1,70.9,16.6,33.1,21.7,17.7,32.4,82.1,61.1,65,294.2,78,60.1,141.3,58.9,113.5,26.5,35.6,0,507.1,0,27.7,2042.9,57,0,4.6,9587,0,18211.4
"DOM_C29",3,0.2,0.2,0.1,0.1,2.7,0.2,1.1,0.5,0.4,0.9,2.2,1.3,1.1,0.6,8.4,1.8,1.8,25.4,19.9,2.3,5.2,2.1,2.7,19.3,117.6,17.1,2.7,0.9,1.5,0.5,0.5,0.7,1.9,1.5,2.5,18.1,2.4,4.6,8.4,2.1,5.3,0.9,1,0,413.5,0,7.9,256.9,4.5,0,6.7,177.5,0,1160.6
"DOM_C30",0.6,1.3,0.4,0.1,0,2.3,0.1,0.3,0.2,0.5,0.7,1.3,0.4,0.4,0.2,0,2.4,0.2,0,0.1,7.1,14.9,0.9,0,6.4,5.3,2.3,66.8,15.6,4.4,0.1,0.3,0.3,0.3,1,0.7,0,0.7,1.5,3.6,0.7,0.9,0.2,1.3,0,299.3,0,6.3,1246,-860.5,0,0,391.6,0,1229.6
"DOM_C31T33",68.4,5.3,3.7,0.8,0.7,17.1,7.1,15,4.3,5.6,11.1,82.8,6.4,8.1,2.2,18.1,46.7,9,61.5,4.8,5.8,182.3,61.5,52,166.7,74.1,29.2,83.2,28,37.2,7.7,18.5,13.5,24.5,22.2,65.5,645.6,70.1,27.5,133.2,48.4,312.8,37.6,24.9,0,1419.4,0.8,156,498.6,-113.9,0,58.3,2853.7,0,7423.8
"DOM_D",282.3,8.1,39.8,5.2,5.7,236.8,17.6,29,60.8,868.5,93.7,56.2,66.9,72.9,24.5,86.7,20.1,16.2,106.3,14.9,10.1,56.5,662.3,152.3,66,539.1,38.3,5.1,1.7,106.6,17.2,151.5,44.4,22.5,50.5,116.2,84.5,213,89.7,155.6,451.5,738.3,164.1,46.2,0,2959,0,5.3,130.5,15.1,0,0.2,1505.1,0,10710.9
"DOM_E",84.1,1.7,1.1,0.3,1.1,131.8,7.4,5.8,170.6,2.7,38.3,36.4,113.8,97.5,52.7,358.3,8.5,15.1,48.4,3.9,4.3,21.4,116.3,652.9,16.8,193.5,14.1,15,0.6,26.6,10.5,52.7,18.4,33.5,39.3,44.7,94.3,119.8,52.4,114.5,226.3,554.1,57.9,39.3,0,2153.3,0,70,1.7,0,0,0.1,13.5,0,5937.3
"DOM_F",422.3,29.5,20.8,4.5,7.3,74.5,6.9,32.4,21.9,33.7,41.2,176.4,28,40.4,8.9,45.4,120.1,23.1,134.8,10.5,2.9,71.3,396,285.6,2402.6,307.6,128.5,519.6,172.5,221.2,46,30.4,22,142.9,109.8,414.3,4183.9,154.6,237.5,619.4,115,358.2,91.4,113.7,0,541.5,0,1051.9,19348.1,0.5,0,0.9,603.5,0,33975.7
"DOM_G",992.7,37.2,72.3,24,14.5,2785.5,269.1,245.5,282,167.3,430.6,381.6,251.4,220.5,95.1,462.9,331.4,238.5,1520.1,127,116,611.1,140.8,200.6,2720.7,2882.6,1099.2,654.8,102.7,186.6,68.2,521,289.8,170.4,177.2,187.2,79.8,530.4,411,419.1,316.7,930.6,145.8,148.8,0,12613.3,0,337.3,2543.1,252.8,0,337.5,23803.4,0,61947.9
"DOM_H49",83.5,5.1,121.5,41.4,6.8,699.9,27.8,54.6,72.7,33.3,68,46.7,48.3,131.8,28.4,78.4,41.8,39.9,167.3,20,12.3,123.6,26.6,152.8,352.6,1979.4,960,60.3,9.1,204.6,36.5,40.3,55.8,110.5,48.2,52.8,13.7,120.2,83.1,188.1,267.5,545.4,72.6,62.4,0,2002.7,0,61.9,139,157.8,0,202.3,2498.2,0,12457.3
"DOM_H50",12.5,0.8,30.2,8.7,1.1,238.7,9.1,3.6,4.8,10.1,33.8,57.6,9.8,37.7,3.1,24.6,12.5,7.4,239.4,5.4,3.2,24.7,10.7,16.8,43.1,386.8,1150.1,91.9,7,86.9,70.3,12.8,19.3,151.3,46.7,14.4,7.9,103.2,194.1,48.1,103.5,109,19.2,22,0,487.7,0,62.4,45.5,233.1,0,262.9,26044,0,30629.7
"DOM_H51",9.5,0.6,0.6,0.1,0.2,22.9,2.3,2.6,3,5,3.9,4.2,2.9,2.5,2,6.3,3.8,3,17.5,1.3,1.4,6.3,5.8,1.7,32,15.6,4.2,15.5,3.6,2.7,0.9,4.5,2.1,1.9,3.3,2.3,0.8,6.5,28.4,6.6,3.1,7.9,1.4,1.8,0,93,0,3,33.8,136.6,0,47.9,2467.5,0,3036.2
"DOM_H52",11.8,1,1.3,0.4,0.4,36,2.8,4.5,4.1,2.6,4.7,6.6,3.5,3.6,1.5,7.2,4,3.1,20.2,1.3,1.6,8.7,2.9,3.5,50.5,102.8,20.1,641.7,44.6,15.6,1.6,6.4,4.6,4.6,7.9,5.5,1.5,10.8,5.8,10.2,6.9,12.3,3.1,3,0,121.5,0,25.8,33.2,21.6,0,3.1,6486.9,0,7788.7
"DOM_H53",7.9,0.4,0.4,0.1,0.5,41.3,2,7.8,34.4,8.5,20.9,27.4,2.2,3.4,0.4,6.9,2.4,3.2,14.5,2.5,1.4,15.7,33.4,61,15,360.5,35.1,27.7,8.8,143.1,80,32.2,225.8,22.1,124.2,187.7,52.5,263.6,171.7,191.1,125.3,288.2,55.1,38.7,0,108.5,0,0.2,9.5,1.2,0,3.1,267.1,0,3136.7
"DOM_I",5.9,1.7,0.9,0.1,1.4,22.5,2.3,5.3,5,1.9,18.9,163.9,7.3,5.2,0.4,12.1,12,4.3,35.4,3.2,5.4,18.7,4.7,19.8,12.3,321.7,79.7,58,107.1,40.6,10.1,256.9,32.9,18.9,83.4,101.1,15.6,264.7,178.9,118,81.7,178.9,65.7,59.3,0,5476.3,0,0.5,0,0,0,1154.1,0,0,9074.9
"DOM_J58T60",4.4,0.4,1.5,0.4,0.3,38.8,1.5,1.8,33.8,1.2,11.3,33.8,2.5,4.2,0.2,8.3,16,5.3,31.9,1.5,2,15.9,7.6,22,10.9,383.4,17.5,16.3,4.3,17.9,33.9,39.4,952,298.9,177.9,209.1,29.8,917.3,80.7,157.8,143.8,83.9,144.1,60.3,0,1403.5,0,443.2,1129.8,1.6,0,7,941.6,0,7952.5
"DOM_J61",6,4.1,1.9,0.3,1.4,25.4,3.6,3.7,6.4,3.6,10.3,68.7,4.1,5.6,1.3,8.1,14.2,5.9,38.5,1.5,2.1,14.2,7.6,74.3,28.7,384.2,42.2,45.8,4.3,62.9,264.7,42.1,46.3,827.5,273.7,279.2,34.5,747.5,415.3,289.4,241.1,271.1,64.7,71,0,2616.8,0,1.9,110.3,1.7,0,20.6,602.3,0,8102.8
"DOM_J62_63",27.3,2.5,4.6,1.5,1,56.4,2.4,4.4,22.8,5.6,29,193.8,5,7.8,0.6,14.7,37.3,26.4,100.8,3.5,5.5,39.4,26.7,127,71.6,608.1,39,131.7,8.1,123.9,95.2,65.5,284.4,283.2,1143.9,851.9,181,936.4,282.8,893.5,582.5,481.3,110.8,198.2,0,370.1,0,7.4,1958.9,3.6,0,4,1570.5,0,12033.9
"DOM_K",1140.9,42.7,17.4,4.2,8.4,307.4,38.2,29.8,50.2,7.7,69.4,200.4,41.8,50.7,27.5,94.1,60.5,36.3,201.2,19.9,29.8,93,338.5,63.2,472.5,1065,190.1,708.4,32.7,108.7,38.9,142.3,65,133.8,188.7,5048.6,3560.9,496.5,343.5,395.9,106,173.9,62.4,145.6,0,9900,0,34.1,274.5,4,0,327.7,1476.3,0,28469.4
"DOM_L",28.2,5.2,10.7,2.3,2.8,176.5,21.7,43.9,91.1,2.3,36.6,84.1,67.7,39.7,12.5,165.2,93.8,55.8,275.5,9.7,7.8,191.4,13,41,186.2,4185.7,136.2,24.4,64.4,216.5,59.3,856.1,191.3,138.9,355.6,901.6,384.1,1074.9,359.5,1141.2,368,513.3,194,455.6,0,24966.7,0,69.3,1332.7,0.1,0,408.8,41.8,0,40104.6
"DOM_M",398.1,1.5,60,12.3,13.2,400.4,13.8,19.5,75.6,28.7,120.4,684.9,32.7,31.1,3.4,58.9,71.7,44.7,440,20.2,10.8,142.1,238.1,553.8,3256.2,2792,147.7,164.4,15.6,421.6,115.1,190.2,285.4,316.1,910,616.6,632.7,2438.6,1290,783.1,449.4,465.9,340.9,298.1,0,268.1,97.9,814.3,3620.3,5.8,0,17,3623.2,0,27852.2
"DOM_N",87.8,0.9,11.3,3.9,11.2,181.3,7.9,8.8,25.9,19.7,140.9,448.4,27,32.6,6.1,66.4,55.1,27.1,163.2,11.9,12.6,161.3,56.9,221.9,487.5,1489,153.3,68.6,13.7,427.3,36.5,146.3,321.1,195.7,453.2,315.8,235.3,913.3,575.5,420.3,385.8,968.4,218.7,170.4,0,2258.1,0,1119.9,220.9,4.7,0,98.8,1766.8,0,15255.1
"DOM_O",15,2.1,0.9,0.3,0.7,15.7,0.8,1.2,3.5,3.4,9.1,60.7,1.8,2.7,0.3,4.5,7.5,3.4,57.4,1.5,3.4,8.1,23.6,55.6,16,203.5,47.9,20.9,28.9,39.8,19.7,36.8,19.9,53.4,110.4,166.9,24.6,189.8,193.2,292.7,66.6,536.6,21,41.3,0,407.4,0,22294.9,667.6,0.1,0,0.2,58,0,25841.4
