"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",2.4,1.1,0,0,0,36.4,0.1,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0.3,0.2,0.2,4.9,1.2,0.5,0,0.4,2.1,0.1,17.7,0.1,0.1,0.1,2.6,1.3,1.4,2.3,0.8,0.7,0.3,0.8,0.2,0,49.6,0,21.2,21.8,1.8,0,1.1,2.3,0,176.3
"DOM_A03",0,61.5,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,10.3,0,0,0,0.1,0,0,0,0,0,0,0,0,0,10.4,0,1.3,1,2.8,0,0.5,181.9,0,270.6
"DOM_B05_06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,14.4
"DOM_B07_08",0,0.5,0,1,0.8,0.2,0,0,0,0,0,0,0,10.6,0.3,0,0.9,0,0,0,0.2,0.1,0.1,0.2,18.9,0.1,0.2,0,0.1,0.2,0,0.2,0,0,0,1.9,0.3,0.2,0.1,0.1,0.1,0.2,0.2,0,0,0.7,0,0.1,3.5,0.8,0,0,0.1,0,43.1
"DOM_B09",0,0.2,0.1,0.4,0.7,0.1,0,0,0,0,0,0,0,0.6,0,0.1,0,0,0,0,0,0,6.3,0.1,3.5,0,0.2,0,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,13.6
"DOM_C10T12",7.5,12.8,0.2,0.2,0,48.5,0,0,0,0,0.3,0.8,0,0.4,0,0,0,0,0,0,0,0,0,0,1.3,0.3,0.1,2.5,4.2,0.7,0,107.2,0.1,0,0,2,0,0.1,0.3,0.2,0,0.1,0,0.2,0,229.9,0,0,0,7.9,0,17.2,103.6,0,548.8
"DOM_C13T15",0,0.1,0,0,0,0.1,0.8,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.8,0,0.3,0.1,0.1,0.1,0,0.7,0,0,0,3.1,0,0.2,0.1,0.3,0.1,0.2,0.2,0.3,0,36.4,0,0,0.4,1.7,0,1.6,5.8,0,54.2
"DOM_C16",0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0.9,0.1,0,0.2,0,0.1,0,0.1,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0.4,0,0,0.2,0.1,0,0.2,0.4,0,5.1
"DOM_C17_18",0,0,0,0,0,0.9,0,0,6.7,0,0.1,0.5,0.5,0,0,0.1,0.4,0.1,0.1,0,0.8,0.8,0.5,0.1,1,1.4,0.2,0.5,2,0.9,2.5,1.7,3.4,2,4.4,48.4,0.2,15.9,1,1.7,1.3,0.8,3.6,0.2,0,6.5,0,1.2,2.1,3.1,0,3.4,66.9,0,188.3
"DOM_C19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.7
"DOM_C20",0,0,0,0,0,1.1,0.3,0,1.1,0,0.4,4.6,2.9,0.1,0,0.2,1.9,0,0,0,0.1,1.4,0.1,0.1,1.7,0.5,0,0,0.1,0.5,0.1,0.7,0.2,0.1,0.1,0.2,0.2,0.5,0.1,0,0.1,0.3,0.3,1.7,0,7.3,0,0,2.1,0.4,0,0.3,3.3,0,35.2
"DOM_C21",0,0,0,0,0,1,0.1,0,0.4,0,0.2,14.3,1,0,0,0.1,0.6,0,0,0,0.1,0.6,0,0.1,0.7,0.2,0.1,0,0,0.2,0.1,0.3,0.1,0,0.1,0.3,0,0.8,1,0.1,0,17.7,0.3,0.6,0,30.1,0,5.5,1.4,1.8,0,2.1,129.3,0,211.5
"DOM_C22",0.2,1.8,0,0.1,0,10.2,0.1,0.3,1.1,0,0.5,3.5,10.3,0.1,0,2.7,0.7,1.6,0.9,0.3,0.8,17.1,0.1,0.1,26.4,7.5,0.3,0.9,0.2,1.5,0.8,1.1,0.2,0.1,2.3,1.5,0,1,0.5,0.5,0,0.3,0.1,0.8,0,9.8,0,0,0.3,3,0,0,68.1,0,179.6
"DOM_C23",0.1,0,0,0.1,0,1.6,0,0,0.1,0,0,0.1,0.4,10.3,0,1.2,31.5,0,0,0,7.7,1,1.8,5.3,58.4,0.4,0.3,0.1,0.3,0.6,0.1,1,0,0.1,0.1,1,4.9,1.7,0.2,0.4,0.2,0.2,0.4,0.7,0,4.5,0,0.2,15.3,1.5,0,0.2,3.1,0,157.1
"DOM_C24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,1.1
"DOM_C25",0.2,0.2,0.1,0.2,0.1,3.6,0,0,0.2,0,0.1,0.3,1.3,1.1,0,19.3,31.1,0.3,1.9,0.1,0.5,8.7,0.5,0.3,36.8,0.7,0.2,0.2,0.5,3.8,0.2,0.4,0.2,0.3,1.1,0.9,0.6,0.9,0.2,0.5,0.1,0.2,0.4,0.3,0,8.5,0,0,12.3,1.6,0,0.1,14.8,0,155.5
"DOM_C26",0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,90.8,0.7,0.8,0,2.8,0.3,2.3,0,0.3,0.1,0,0,0.1,0.3,0.3,0,0.5,40.1,53.8,2.7,0,2.9,0.7,0.2,0,0.1,0.1,2.7,0,30.7,0,0,60.9,7.7,0,4,400.8,0,707.5
"DOM_C27",0,0,0,0,0,0.1,0,0,0.1,0,0,0.1,0.1,0.1,0,0.2,0.3,6.5,0.8,0,0.3,1,1.1,0.1,6.5,0.3,0.1,0.1,0.1,0.2,0,0.2,0.2,0.5,4.8,1.2,0.1,0.3,0.1,0,0,0,0.1,0.4,0,8.6,0,0,15.3,0.8,0,0.5,42.4,0,93.7
"DOM_C28",0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.7,0,0.5,0.8,0.1,0.1,2.1,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,17.7,0.4,0,0,19.7,0,44.3
"DOM_C29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.1,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,3.4,0,0,1.8,0.1,0,0,0.1,0,6.4
"DOM_C30",0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,9.8,0,0,0.1,0.1,0.1,0.1,12.8,5.4,0,4.1,0,0,0.1,0.7,0,0.1,1,0.5,0,0.1,1.4,0,0,15.5,0,4.3,97.8,5.9,0,0,9,0,203.8
"DOM_C31T33",1.7,2.3,0.2,0.4,0.1,1.4,0.3,0.1,0.8,0,0.1,1.9,1.2,0.7,0,1.6,2.4,0.2,0.4,0.1,2.8,16.5,3.1,2.2,8.3,5.3,5.3,4.6,18,5,4.7,4.3,0.5,1.6,6.6,8.2,2.6,3.6,3.7,6.2,1.8,21.4,36.2,0.9,0,72.1,0,1.8,46.1,2.2,0,16,256.5,0,584
"DOM_D",1.2,0.2,0,0.1,0.1,7.4,2.7,0.1,2.4,0,1.5,4,5.5,1.5,0,2.1,38.7,0.2,0.7,0.1,0.5,7.8,440.6,23.8,6.4,9.7,1.6,0.7,0.9,5.4,4,29.4,2.7,6.3,52.9,30.3,2.7,7.9,1.2,10.5,7.8,16.8,11.4,1.6,0,114.1,0,0,0,0,0,0,0,0,865.3
"DOM_E",0.8,0.3,0,0.1,0,2.2,0.1,0,1.2,0,0.2,0.7,0.9,1.8,0,0.6,0,0.1,0.1,0,2.1,1.6,0.8,55.1,3.5,2.3,0.7,0.6,1,1.1,1.7,6.9,0.6,2.2,5.4,10.6,0.8,3.2,15.1,19.9,1.2,6.1,1.9,1,0,67.5,0,12.1,1.8,0,0,0,0,0,236.1
"DOM_F",3.5,0.8,0.2,0.6,0.1,3.5,0.7,0,1.2,0,0.4,2.4,0.8,7.2,0,3.1,18.4,0.3,0.3,0,4.9,13,7.8,11.3,254.9,16.8,15.4,1,7.1,37.7,1.4,33.2,1.5,1.6,5.6,43.8,50.3,10.1,7.1,8.8,13.1,5.6,16.5,5.2,0,17.1,0,17.7,800.9,1.1,0,3.6,20.1,0,1477.7
"DOM_G",8.8,18.2,0.3,0.7,0.3,66.6,3.9,0.5,17.8,0.1,2.6,29.1,17.5,12.3,0,13.6,64.1,4,3.4,0.6,14.8,29.4,55.3,6.8,89,18.8,13.2,6.1,13.2,8.7,9.2,107.8,5.7,8.3,20.8,42.3,6.5,13.5,7.5,4.6,3.2,22,19.9,10.2,0,524.1,0.2,4.8,125.6,22.3,0,32.3,441.5,0,1952.1
"DOM_H49",0.9,2.2,0,0.1,0.1,7.4,0.3,0.1,2.4,0,0.4,3.1,2.4,3.7,0,2.1,9.3,0.4,0.6,0.1,2.1,4.7,7.9,1.3,15.9,7.9,32.6,1,3.1,2,3.5,10,1,0.8,2.4,9.1,0.8,1.7,0.7,0.6,0.3,1.8,1.7,1.2,0,69.1,0,2.2,9.5,-15.8,0,75.4,46.8,0,336.7
"DOM_H50",0.2,4.8,0.1,0,0,2.4,0.3,0,2,0,0.1,2.5,0.5,0.6,0,1,4,2.2,0.2,0.1,0.6,3.5,2,0.1,2.9,17.2,0.6,1.5,2.2,1.7,0.2,1.6,0.2,0.9,1,4.4,0.1,1,3.8,0.3,0.2,0.5,1.2,0.3,0,39.5,0,0.2,3.8,8.2,0,14.6,126.1,0,261.6
